"","X1","UID","iso2","iso3","code3","FIPS","Admin2","Lat","Combined_Key","Date","Case","Long","Country/Region","Province/State"
"108",196239,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-01-22,0,-78.02750466,"US","New York"
"109",196240,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-01-23,0,-78.02750466,"US","New York"
"110",196241,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-01-24,0,-78.02750466,"US","New York"
"111",196242,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-01-25,0,-78.02750466,"US","New York"
"112",196243,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-01-26,0,-78.02750466,"US","New York"
"113",196244,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-01-27,0,-78.02750466,"US","New York"
"114",196245,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-01-28,0,-78.02750466,"US","New York"
"115",196246,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-01-29,0,-78.02750466,"US","New York"
"116",196247,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-01-30,0,-78.02750466,"US","New York"
"117",196248,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-01-31,0,-78.02750466,"US","New York"
"118",196249,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-01,0,-78.02750466,"US","New York"
"119",196250,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-02,0,-78.02750466,"US","New York"
"120",196251,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-03,0,-78.02750466,"US","New York"
"121",196252,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-04,0,-78.02750466,"US","New York"
"122",196253,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-05,0,-78.02750466,"US","New York"
"123",196254,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-06,0,-78.02750466,"US","New York"
"124",196255,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-07,0,-78.02750466,"US","New York"
"125",196256,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-08,0,-78.02750466,"US","New York"
"126",196257,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-09,0,-78.02750466,"US","New York"
"127",196258,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-10,0,-78.02750466,"US","New York"
"128",196259,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-11,0,-78.02750466,"US","New York"
"129",196260,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-12,0,-78.02750466,"US","New York"
"130",196261,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-13,0,-78.02750466,"US","New York"
"131",196262,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-14,0,-78.02750466,"US","New York"
"132",196263,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-15,0,-78.02750466,"US","New York"
"133",196264,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-16,0,-78.02750466,"US","New York"
"134",196265,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-17,0,-78.02750466,"US","New York"
"135",196266,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-18,0,-78.02750466,"US","New York"
"136",196267,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-19,0,-78.02750466,"US","New York"
"137",196268,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-20,0,-78.02750466,"US","New York"
"138",196269,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-21,0,-78.02750466,"US","New York"
